//x:1708 y:809 screen:0 window:65011765
x:1767 y:807 screen:0 window:65011765
x:1824 y:811 screen:0 window:65011765
x:1824 y:812 screen:0 window:65011765
x:1805 y:836 screen:0 window:65011765
x:1750 y:841 screen:0 window:65011765
x:1706 y:846 screen:0 window:65011765
x:1706 y:846 screen:0 window:65011765
x:1712 y:880 screen:0 window:65011765
x:1750 y:881 screen:0 window:65011765
x:1826 y:878 screen:0 window:65011765
x:1828 y:933 screen:0 window:65011765
x:1797 y:919 screen:0 window:65011765
x:1742 y:916 screen:0 window:65011765
x:1742 y:916 screen:0 window:65011765
x:1711 y:939 screen:0 window:65011765
x:1748 y:949 screen:0 window:65011765
x:1806 y:954 screen:0 window:65011765
x:1821 y:983 screen:0 window:65011765
x:1820 y:983 screen:0 window:65011765
x:1775 y:987 screen:0 window:65011765
x:1716 y:986 screen:0 window:65011765
x:1736 y:1022 screen:0 window:65011765
x:1740 y:1022 screen:0 window:65011765
x:1764 y:1028 screen:0 window:65011765
x:1802 y:1028 screen:0 window:65011765
x:1803 y:1030 screen:0 window:65011765
x:1838 y:1028 screen:0 window:65011765
